Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,MDS R3,no,100,2017,2017
I&N INTERNATIONAL,,KOREA,2017-01-23,2017-01-24,1 days 00:00:00.000000000,KYT GALAXY SLIDE,no,50,2017,2017
INFINITE,SNI,PHILIPPINES,2016-07-20,2016-08-30,41 days 00:00:00.000000000,KIT,no,10,2016,2016
INFINITE,SNI,PHILIPPINES,2016-07-20,2016-08-30,41 days 00:00:00.000000000,KIT,no,10,2016,2016
INFINITE,SNI,PHILIPPINES,2016-07-20,2016-08-30,41 days 00:00:00.000000000,KIT,no,10,2016,2016
INFINITE,SNI,PHILIPPINES,2016-07-20,2016-08-30,41 days 00:00:00.000000000,KIT,no,10,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
INFINITE,SNI,PHILIPPINES,2016-08-05,2016-08-30,25 days 00:00:00.000000000,KIT,no,20,2016,2016
