Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING FALCON,no,20,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING FALCON,no,20,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-04-11,2017-04-12,1 days 00:00:00.000000000,SR SPORT,no,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-13,2017-07-14,1 days 00:00:00.000000000,K RACING VENOM,no,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-13,2017-07-14,1 days 00:00:00.000000000,K RACING FALCON,no,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING VENOM,no,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING FALCON,no,30,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-05-02,2017-05-03,1 days 00:00:00.000000000,SR SPORT,no,40,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-13,2017-07-14,1 days 00:00:00.000000000,K RACING VENOM,no,40,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-13,2017-07-14,1 days 00:00:00.000000000,K RACING FALCON,no,40,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING VENOM,no,40,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,K RACING FALCON,no,40,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-04-11,2017-04-12,1 days 00:00:00.000000000,KYT FALCON,no,50,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-27,2017-07-28,1 days 00:00:00.000000000,KYT,no,50,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-27,2017-07-28,1 days 00:00:00.000000000,KYT NFR,no,80,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-13,2017-07-14,1 days 00:00:00.000000000,KYT,no,100,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-27,2017-07-28,1 days 00:00:00.000000000,KYT NFR,no,100,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-08-15,2017-08-16,1 days 00:00:00.000000000,KYT,no,100,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-07-27,2017-07-28,1 days 00:00:00.000000000,SUOMY,no,200,2017,2017
FORTUNE,SNI,PHILIPPINES,2016-10-03,2016-10-07,4 days 00:00:00.000000000,PROMOTION ITEM,no,1,2016,2016
FORTUNE,SNI,PHILIPPINES,2016-10-03,2016-10-07,4 days 00:00:00.000000000,PROMOTION ITEM,no,2,2016,2016
FORTUNE,SNI,PHILIPPINES,2017-10-19,2017-10-20,1 days 00:00:00.000000000,INK FULL FACE,no,10,2017,2017
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,ACCESSORIES,no,2,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,3,2018,2018
I&K,SNI,KOREA,2018-06-04,2018-07-04,30 days 00:00:00.000000000,ACCESSORIES,no,5,2018,2018
I&K,SNI,KOREA,2018-07-05,2018-08-06,32 days 00:00:00.000000000,ACCESSORIES,no,5,2018,2018
I&K,SNI,KOREA,2018-09-13,2018-09-30,17 days 00:00:00.000000000,ACCESSORIES,no,5,2018,2018
I&K,SNI,KOREA,2018-09-27,2018-10-27,30 days 00:00:00.000000000,ACCESSORIES,no,5,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,REPLACEMENT,no,20,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
I&K,SNI,KOREA,2018-03-15,2018-03-16,1 days 00:00:00.000000000,KIT,no,50,2018,2018
