"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","ALEIX ESPARGARO REPLICA GUNMETAL","","","","","30","30","12","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","ALEIX ESPARGARO REPLICA 2017 FUXIA","","","","","30","30","12","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","STAR","","","","","36","36","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","NF-J","XAVIER SIMEON REPLICA 2018","","","","","36","36","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","ALEIX ESPARGARO REPLICA GUNMETAL","","","","","30","30","12","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","ALEIX ESPARGARO REPLICA 2017 FUXIA","","","","","30","30","12","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","STAR","","","","","36","36","","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT R-10","SUPERFLUO #1 YELLOW FLUO/RED FLUO","","","","9","19","30","12","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","ANDREA LOCATELLI REPLICA 2016","","","","","27","33","9","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT NFR","ESPARGARO REPLICA 2017","","","","6","18","28","15","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT R-10","SAN MARINO","","","","11","18","24","13","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT NFR","LOGOS MATT ORANGE","","","","9","21","24","12","","","","","",""
"INFINITE SERV","175 ","HA-16 REV1","SNI","PHILIPPINES","Tuesday, 14 August 2018","01 October 2018","KYT NFR","ISAAC VINALES REPLICA","","","","","24","30","12","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENDETTA2","ALEIX ESPARGARO REPLICA GUNMETAL (K-RACING LOGO)","","","","6","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENDETTA2","XAVIER SIMEON REPLICA 2014","","","","","30","30","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19","SNI","PHILIPPINES","Wednesday, 03 October 2018","NEXT CONT","KYT VENOM OPEN","XAVIER SIMEON REPLICA 2014","","","","","30","30","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENDETTA2","ALEIX ESPARGARO REPLICA GUNMETAL (K-RACING LOGO)","","","","6","30","30","","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENDETTA2","XAVIER SIMEON REPLICA 2014","","","","","30","30","6","","","","","",""
"INFINITE SERV","220 ","HA-18 & 19 REV 01","ECE","PHILIPPINES","Monday, 12 November 2018","NEXT CONT","KYT VENOM OPEN","XAVIER SIMEON REPLICA 2014","","","","","30","30","6","","","","","",""
"INFINITE SERV","26","HA-11 REV6","SNI","PHILIPPINES","Monday, 19 February 2018","28 February 2018","KYT NFR","HEXAGON ORANGE","","","","6","18","27","14","","","","","",""
