Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,XXS,XS (48),XS/S,S(50),M(52),L(54),XL(56),XXL,3XL,4XL,S/M,L/XL,Other,Total Helmet,Receive Year,Delivery Year
ALPINESTAR,ECE,ITALY,2017-05-15,2017-05-16,1,NOVUS HELMET,no,0,5,0,5,5,5,5,5,0,0,0,0,0,30,2017,2017
ALPINESTAR,ECE,ITALY,2017-05-15,2017-05-16,1,NOVUS HELMET,no,0,1,0,9,17,1,0,0,0,0,0,0,0,28,2017,2017
ALPINESTAR,ECE,ITALY,2016-10-24,2016-11-30,37,NOVUS HELMET,no,0,10,0,0,0,0,0,0,0,0,0,0,0,10,2016,2016
ALPINESTAR,ECE,ITALY,2017-07-10,2017-07-11,1,NOVUS HELMET,no,0,0,0,10,0,0,0,0,0,0,0,0,0,10,2017,2017
ALPINESTAR,ECE,ITALY,2016-08-15,2016-08-16,1,NOVUS HELMET,no,0,0,0,0,7,0,0,0,0,0,0,0,0,7,2016,2016
ALPINESTAR,ECE,ITALY,2016-08-15,2016-08-16,1,NOVUS HELMET,no,0,0,0,0,7,0,0,0,0,0,0,0,0,7,2016,2016
ALPINESTAR,ECE,ITALY,2016-08-15,2016-08-16,1,NOVUS HELMET,no,0,0,0,0,7,0,0,0,0,0,0,0,0,7,2016,2016
ALPINESTAR,ECE,ITALY,2017-07-10,2017-07-11,1,NOVUS HELMET,no,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2017,2017
ALPINESTAR,ECE,ITALY,2017-07-10,2017-07-11,1,NOVUS HELMET,no,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2017,2017
ALPINESTAR,ECE,ITALY,2017-07-10,2017-07-11,1,NOVUS HELMET,no,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-10-15,2018-11-15,31,K RACING KR 1,no,0,0,0,0,200,200,100,0,0,0,0,0,0,500,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,6,0,48,72,72,72,24,0,0,0,0,0,294,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,72,60,42,3,0,0,0,0,0,180,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,6,72,60,36,6,0,0,0,0,0,180,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,KYT FALCON,no,0,0,0,3,60,60,24,3,0,0,0,0,0,150,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,60,60,24,3,0,0,0,0,0,150,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,60,60,24,3,0,0,0,0,0,150,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,6,0,18,36,36,36,12,0,0,0,0,0,144,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM OPEN FACE,no,0,0,0,6,36,36,24,6,0,0,0,0,0,108,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,24,36,36,6,6,0,0,0,0,0,108,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,6,0,24,24,24,24,6,0,0,0,0,0,108,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,6,0,24,36,24,12,6,0,0,0,0,0,108,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,36,36,24,3,0,0,0,0,0,102,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,12,24,24,24,6,0,0,0,0,0,90,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,6,24,24,24,6,0,0,0,0,0,84,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,6,24,24,24,6,0,0,0,0,0,84,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,12,24,24,15,6,0,0,0,0,0,81,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,18,24,24,12,0,0,0,0,0,0,78,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,9,24,24,12,6,0,0,0,0,0,75,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,36,24,6,3,0,0,0,0,0,72,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM OPEN FACE,no,0,0,0,6,24,24,12,6,0,0,0,0,0,72,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,24,24,12,3,0,0,0,0,0,66,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,3,24,24,12,3,0,0,0,0,0,66,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,18,18,18,6,0,0,0,0,0,66,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,18,18,18,6,0,0,0,0,0,66,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,18,18,18,6,0,0,0,0,0,66,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,18,18,18,6,0,0,0,0,0,66,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,6,18,18,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,6,0,12,12,12,12,6,0,0,0,0,0,60,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,3,0,0,0,0,0,57,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,3,0,0,0,0,0,57,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,18,18,12,3,0,0,0,0,0,57,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,24,24,6,0,0,0,0,0,0,54,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,24,24,6,0,0,0,0,0,0,54,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM OPEN FACE,no,0,0,0,3,18,18,12,3,0,0,0,0,0,54,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM OPEN FACE,no,0,0,0,3,18,18,12,3,0,0,0,0,0,54,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,3,18,18,12,3,0,0,0,0,0,54,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,6,12,12,12,6,0,0,0,0,0,48,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,12,6,0,0,0,0,0,48,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,12,6,0,0,0,0,0,48,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,12,6,0,0,0,0,0,48,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,12,6,0,0,0,0,0,48,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,12,12,12,3,0,0,0,0,0,45,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,6,12,12,12,3,0,0,0,0,0,45,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,6,12,12,12,3,0,0,0,0,0,45,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT VENOM OPEN FACE,no,0,0,0,3,12,12,12,3,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,6,6,0,0,0,0,0,42,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,6,12,12,6,3,0,0,0,0,0,39,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,6,12,12,6,3,0,0,0,0,0,39,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,6,12,12,6,3,0,0,0,0,0,39,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,18,12,6,0,0,0,0,0,0,36,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,18,12,6,0,0,0,0,0,0,36,2017,2017
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,0,12,12,12,0,0,0,0,0,0,36,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,6,12,12,6,0,0,0,0,0,0,36,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-31,2018-09-01,1,SPEED STARS,no,0,0,0,6,12,12,6,0,0,0,0,0,0,36,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,6,12,12,6,0,0,0,0,0,0,36,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT NFR,no,0,0,0,3,12,12,6,3,0,0,0,0,0,36,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,0,0,6,12,12,6,0,0,0,0,0,0,36,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT CROSS OVER,no,0,0,0,3,9,12,6,3,0,0,0,0,0,33,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM FULL FACE,no,0,0,0,3,12,12,6,0,0,0,0,0,0,33,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM FULL FACE,no,0,0,0,3,12,12,6,0,0,0,0,0,0,33,2018,2018
